Laboratoriet Bagarmossen	59.2764044257033, 18.13568570136
Laboratoriet Bollmora	59.2461739925077, 18.2287812298533
Laboratoriet Boo	59.3286723495596, 18.2549863269795
Laboratoriet Brandbergen	59.1721602465698, 18.1700821554609
Laboratoriet Brommaplan	59.3388372568434, 17.9399050171189
Provtagning Danderyd	59.3922770821807, 18.03847388694
Laboratoriet Djursholm	59.3981109825746, 18.0869299188288
Laboratoriet Enebyberg	59.4325233135696, 18.039573616964
Laboratoriet Dalen	59.288599940641, 18.0987286561454
Laboratoriet Ersta	59.3170999751402, 18.0891589305205
Laboratoriet Farsta	59.2414532204044, 18.0901283966978
Laboratoriet Fisksätra	59.2933817786217, 18.2572244547442
Laboratoriet Gustavsberg	59.3237780760825, 18.3830148099461
Laboratoriet Hagsätra	59.2626859040968, 18.0144665722517
Laboratoriet Hallstavik	60.0527496874468, 18.5963124925227
Laboratoriet Handen	59.1729977593979, 18.141153328048
Laboratoriet Husby	59.4099336964567, 17.9252117941801
Laboratoriet Kallhäll	59.4547592829082, 17.8084891098866
Laboratoriet Lejonstigen	59.3651214616132, 18.1360485212775
Laboratoriet Lidingö sjukhus	59.3506784287757, 18.1507441501219
Laboratoriet Löwenströmska	59.5450424077219, 17.9081384415935
Laboratoriet Margretelund	59.4718275365452, 18.3310126206585
Laboratoriet Maria	59.3160757319057, 18.0577165234436
Laboratoriet Mörby	59.3982628088986, 18.0360678757419
Laboratoriet Forum	59.3091665117196, 18.165975425419
Laboratoriet Nacka	59.3114007730614, 18.1970968525603
Provtagningscentral Norrtälje Sjukhus	59.7571260697339, 18.6896301938853
Laboratoriet Odenplan	59.3428452906556, 18.0514369896618
Laboratoriet Rågsved	59.2575416920271, 18.0275837657245
Laboratoriet Saltsjöbaden	59.285585054205, 18.2810433152266
Laboratoriet Tureberg	59.429146368375, 17.9468747600649
Laboratoriet Solna	59.3570998698832, 17.9979280464879
Laboratoriet Solna centrum	59.3588607611442, 18.0000114835708
Laboratoriet Sophiahemmet	59.3454012037803, 18.0754815289594
Laboratoriet Storvreten	59.1930184226697, 17.8390044232598
Provtagningscentral Södersjukhuset	59.3099823853907, 18.0559260961989
Provtagningscentral Södertälje Sjukhus	59.1992565813305, 17.6322780380535
Laboratoriet Torsvik	59.3621521847835, 18.1222649540557
Laboratoriet Tureberg	59.429146368375, 17.9468747600649
Laboratoriet Tveta	59.1774325510477, 17.6088628923178
Laboratoriet Täby Kyrkby	59.4942924450229, 18.0637319374729
Laboratoriet Täby sjukhus	59.4441810489321, 18.0671088781984
Laboratoriet Upplands Väsby	59.5193039011614, 17.9100703538682
Laboratoriet Vallentuna vårdcentral	59.5356082179325, 18.0828854217111
Laboratoriet Vaxholm	59.4028895471706, 18.3501148514474
Laboratoriet Vendelsö	59.1932318769573, 18.1963938232214
Laboratoriet Vården i centrum Lidingö	59.3656015713051, 18.1368203299458
Laboratoriet Västerhaninge	59.1214404744382, 18.1019581713537
Laboratoriet Åkersberga	59.4800543600133, 18.2958793431316
Laboratoriet Årsta	59.298364409584, 18.050084749403
